index, parcels, plants, distance 
233,22.0,2.0,118.29777392020476 
234,22.0,3.0,1439.2318657567257 
235,22.0,4.0,1581.4729854414256 
236,22.0,5.0,1596.8212640935753 
237,22.0,6.0,1582.889352310997 
238,22.0,7.0,1583.464914987879 
239,22.0,8.0,1564.1114478446675 
240,22.0,9.0,650.9543374695111 
241,22.0,10.0,1220.7819757393304 
242,22.0,11.0,1221.6382201404738 
243,23.0,1.0,93.80999444816058 
244,23.0,2.0,93.86847482975706 
245,23.0,3.0,1474.0135888617403 
246,23.0,4.0,1615.8998753312005 
247,23.0,5.0,1631.2855238901816 
248,23.0,6.0,1617.3284157324313 
249,23.0,7.0,1617.8900969837132 
250,23.0,8.0,1598.4624737367274 
251,23.0,9.0,683.8168733041257 
252,23.0,10.0,1254.1470959170465 
253,23.0,11.0,1255.0801612855387 
254,24.0,1.0,99.03881441439383 
255,24.0,2.0,99.09413495759419 
256,24.0,3.0,1467.3502746863558 
257,24.0,4.0,1609.0813452536247 
258,24.0,5.0,1624.4698317754555 
259,24.0,6.0,1610.510752607637 
260,24.0,7.0,1611.0714487771681 
261,24.0,8.0,1591.6396493450363 
262,24.0,9.0,677.9035882876717 
263,24.0,10.0,1247.3465958253742 
264,24.0,11.0,1248.275130643734 
265,25.0,1.0,104.44847207361337 
266,25.0,2.0,104.50086267867542 
267,25.0,3.0,1460.6974798902554 
268,25.0,4.0,1602.2713264254044 
269,25.0,5.0,1617.6627054546343 
270,25.0,6.0,1603.701618150178 
271,25.0,7.0,1604.2613092968274 
272,25.0,8.0,1584.8252393974176 
273,25.0,9.0,672.0170084542874 
274,25.0,10.0,1240.5541446030304 
275,25.0,11.0,1241.4781417366287 
276,26.0,1.0,110.02445919629304 
277,26.0,2.0,110.0741366341088 
278,26.0,3.0,1454.0389839280228 
279,26.0,4.0,1595.4532026732268 
280,26.0,5.0,1610.8475356705253 
281,26.0,6.0,1596.884398308836 
282,26.0,7.0,1597.4430620733328 
283,26.0,8.0,1578.0026173097576 
284,26.0,9.0,666.1432379671984 
285,26.0,10.0,1233.7531784194755 
286,26.0,11.0,1234.6726185875964 
287,27.0,1.0,115.7312242784106 
288,27.0,2.0,115.7783916823905 
289,27.0,3.0,1447.3805357163874 
290,27.0,4.0,1588.6347615219993 
291,27.0,5.0,1604.0320224503712 
292,27.0,6.0,1590.0668526106 
293,27.0,7.0,1590.6244985509556 
294,27.0,8.0,1571.17973453607 
295,27.0,9.0,660.2843393844696 
296,27.0,10.0,1226.9530380215724 
297,27.0,11.0,1227.8678193856551 
298,28.0,1.0,121.55035276703813 
299,28.0,2.0,121.59519957496094 
300,28.0,3.0,1440.7221431339806 
301,28.0,4.0,1581.8160059084123 
302,28.0,5.0,1597.2161684433459 
303,28.0,6.0,1583.2489838899803 
304,28.0,7.0,1583.8056216843984 
305,28.0,8.0,1564.3565946932092 
306,28.0,9.0,654.4407195200637 
307,28.0,10.0,1220.153744247854 
