index, depots, plants, distance 
85,562,8,1586.4560621565956 
86,562,9,689.7395042160409 
87,562,10,1238.0010895787548 
88,562,11,1239.1899809025567 
89,597,1,144.98066086649334 
90,597,2,145.05603616790503 
91,597,3,1481.8368941058275 
92,597,4,1613.3712910876754 
93,597,5,1629.2062288319148 
94,597,6,1614.9462798395687 
95,597,7,1615.3394318909175 
96,597,8,1595.0788496142095 
97,597,9,710.3817499285228 
98,597,10,1243.438011833284 
99,597,11,1244.8407103489278 
100,662,1,1639.0685966174894 
101,662,2,1639.0736999393973 
102,662,3,389.89845369522936 
103,662,4,142.10734562734964 
104,662,5,159.5783097338514 
105,662,6,146.21846970030538 
106,662,7,142.40490273734386 
107,662,8,114.77787795372613 
108,662,9,1046.5853514587911 
109,662,10,320.8248383963776 
110,662,11,317.48826091825043 
111,676,1,1649.0056043413042 
112,676,2,1649.0125189445996 
113,676,3,424.0680800212978 
114,676,4,172.0761160557437 
115,676,5,188.49905106689448 
116,676,6,176.18533808267313 
117,676,7,172.1503640428705 
118,676,8,145.82486135365366 
119,676,9,1066.3278919865038 
120,676,10,323.6635686395292 
121,676,11,321.3218122931166 
122,693,1,1739.7383810948218 
123,693,2,1739.7419541199563 
124,693,3,414.65769168818275 
125,693,4,123.02319046894766 
126,693,5,129.68986547823997 
127,693,6,126.06686750488701 
128,693,7,121.76720909345329 
129,693,8,111.89499091164437 
130,693,9,1134.4939909193936 
131,693,10,425.4142493604189 
132,693,11,421.9772127570115 
133,705,1,1755.949380483205 
134,705,2,1755.954640891437 
135,705,3,450.4502925110307 
136,705,4,159.3137266873262 
137,705,5,165.86374792808192 
138,705,6,162.37837095811338 
139,705,7,158.0720591851918 
140,705,8,147.22242669304367 
141,705,9,1159.1246316722759 
142,705,10,434.3885283130261 
143,705,11,431.7106104580319 
144,718,1,1693.543375441961 
145,718,2,1693.5482174228878 
146,718,3,409.66161616549755 
147,718,4,132.33856409008584 
148,718,5,145.4156561693919 
149,718,6,136.218485695356 
150,718,7,131.82883072797696 
151,718,8,111.10609740906533 
152,718,9,1097.0661681462636 
153,718,10,374.87797726531426 
154,718,11,371.7433825045915 
155,722,1,1714.5241687198181 
156,722,2,1714.5292720993073 
157,722,3,424.65358728675125 
158,722,4,140.9838244852807 
159,722,5,151.87202827175733 
160,722,6,144.628232649901 
161,722,7,140.18988298905086 
162,722,8,122.8455244273541 
163,722,9,1118.567073998486 
164,722,10,394.31305127159396 
165,722,11,391.398163707013 
166,723,1,1721.912507835762 
167,723,2,1721.9179330783845 
168,723,3,433.7595907879689 
169,723,4,148.86706155984297 
170,723,5,159.1107309440639 
171,723,6,152.43719224291485 
172,723,7,148.00128115148507 
173,723,8,131.51562352159686 
174,723,9,1127.4074591155666 
175,723,10,400.3543909041667 
176,723,11,397.613213024836 
177,732,1,1687.8781817478466 
178,732,2,1687.8837777266508 
179,732,3,419.18308236923036 
180,732,4,145.86094763683184 
181,732,5,159.54581019336564 
182,732,6,149.80265536162253 
183,732,7,145.449235085205 
184,732,8,123.50014483623364 
185,732,9,1095.8308056134927 
186,732,10,366.3469123907907 
187,732,11,363.53057175601094 
188,734,1,1688.4938482793605 
189,734,2,1688.4998046782785 
190,734,3,425.378484481678 
191,734,4,152.60384205303353 
192,734,5,166.24793436337694 
193,734,6,156.54416004906744 
194,734,7,152.18946971296506 
195,734,8,130.2064803180366 
196,734,9,1098.4346896608201 
197,734,10,365.6528501524274 
198,734,11,363.009054566255 
199,1296,1,82.15964018466941 
200,1296,2,82.24930043895267 
201,1296,3,1545.0670811546408 
202,1296,4,1685.2174377918407 
203,1296,5,1700.7208513385774 
204,1296,6,1686.684274890699 
205,1296,7,1687.2021628563523 
206,1296,8,1667.5473511887174 
207,1296,9,753.2695600813954 
208,1296,10,1320.6401690586429 
209,1296,11,1321.7645872779262 
210,1454,1,1797.1281183375643 
211,1454,2,1797.125669550495 
212,1454,3,368.10988527349457 
213,1454,4,112.8759654680825 
214,1454,5,98.36073472435842 
215,1454,6,111.53878944762965 
216,1454,7,110.88436668629966 
217,1454,8,132.29043261808755 
218,1454,9,1160.1964584458772 
219,1454,10,516.4614014511849 
220,1454,11,511.2585132489277 
221,1456,1,1810.7889751730754 
222,1456,2,1810.7865197519382 
223,1456,3,378.65326558348295 
224,1456,4,126.53437025919008 
225,1456,5,111.95958737782088 
226,1456,6,125.19937131337751 
227,1456,7,124.54133033006143 
228,1456,8,145.7197506974099 
229,1456,9,1173.4579328230568 
230,1456,10,529.2208422203357 
231,1456,11,524.0940414354982 
232,1457,1,1783.5049152304894 
233,1457,2,1783.5028168476547 
234,1457,3,362.25775910042796 
235,1457,4,99.23474067909828 
236,1457,5,85.8025874515677 
237,1457,6,98.16387570796823 
238,1457,7,97.21251277411069 
239,1457,8,117.61318144482715 
240,1457,9,1148.5715672311474 
241,1457,10,501.24944454675466 
242,1457,11,496.07065040563066 
243,1460,1,1790.4027820810666 
244,1460,2,1790.401021787856 
245,1460,3,371.82881289463114 
246,1460,4,106.50660099418789 
247,1460,5,93.93690828579167 
248,1460,6,105.6741656333319 
249,1460,7,104.46339791907624 
250,1460,8,123.48964677468823 
251,1460,9,1156.8485696680543 
252,1460,10,505.24172461054604 
253,1460,11,500.20700223882056 
254,1461,1,1804.0612190176191 
255,1461,2,1804.0594467463864 
256,1461,3,382.01920177334546 
257,1461,4,120.10239652909569 
258,1461,5,107.21537259257147 
259,1461,6,119.21385315825594 
260,1461,7,118.06259592052507 
261,1461,8,137.09240237064608 
262,1461,9,1170.0656395860085 
263,1461,10,518.0958619157605 
264,1461,11,513.1355220230785 
265,1474,1,1810.8276630742382 
266,1474,2,1810.8255460364087 
267,1474,3,382.8856560581456 
268,1474,4,126.54056414252294 
269,1474,5,112.72615464327247 
270,1474,6,125.41579312522826 
271,1474,7,124.52197584339822 
272,1474,8,144.65536591987075 
273,1474,9,1175.0490184174887 
274,1474,10,526.8433739503386 
275,1474,11,521.8169055425493 
276,1476,1,1831.3178012606222 
277,1476,2,1831.3156709711318 
278,1476,3,398.887779582777 
279,1476,4,147.0228132659475 
280,1476,5,133.02527570236657 
281,1476,6,145.87109076247103 
282,1476,7,145.00609807501925 
283,1476,8,164.9952785007443 
284,1476,9,1194.9317202301017 
285,1476,10,546.1441866475118 
286,1476,11,541.2236048843657 
287,1483,1,1838.1520478704585 
288,1483,2,1838.1499129506142 
289,1483,3,404.3118259190706 
290,1483,4,153.8549095179289 
291,1483,5,139.80771328748747 
292,1483,6,152.69566587314273 
293,1483,7,151.83872996802472 
294,1483,8,171.7881176299038 
295,1483,9,1201.566600659103 
296,1483,10,552.6026441593239 
297,1483,11,547.7158094912154 
298,1514,1,1844.966944153517 
299,1514,2,1844.9634740663482 
300,1514,3,394.40622475096234 
301,1514,4,162.37867671706246 
302,1514,5,146.12820464927805 
303,1514,6,160.56937010520258 
304,1514,7,160.46417230528 
305,1514,8,183.52757838858196 
306,1514,9,1202.2081657307274 
307,1514,10,568.4692245586316 
308,1514,11,563.2376395391126 
309,1524,1,1824.476697874577 
310,1524,2,1824.473226682455 
311,1524,3,377.4727826451902 
312,1524,4,142.11983878256083 
313,1524,5,125.69597640609149 
314,1524,6,140.24170287028878 
315,1524,7,140.22160197060452 
316,1524,8,163.76260340945785 
317,1524,9,1182.213169920228 
318,1524,10,549.4359103339885 
319,1524,11,544.0944697290965 
320,1530,1,1818.598813202515 
321,1530,2,1818.5990538804176 
322,1530,3,419.2882825430446 
323,1530,4,142.62038475149575 
324,1530,5,134.26364141409135 
325,1530,6,142.85774185082482 
326,1530,7,140.57626406633335 
327,1530,8,152.66841554475084 
328,1530,9,1193.7487966052836 
329,1530,10,518.9503045719854 
330,1530,11,514.7004103921232 
331,1535,1,1825.6608954206195 
332,1535,2,1825.6614589728092 
333,1535,3,428.864081323625 
334,1535,4,151.44133791666806 
335,1535,5,143.47977758651453 
336,1535,6,151.77932923503903 
337,1535,7,149.40482134229833 
338,1535,8,160.693686752543 
339,1535,9,1202.1692102682239 
340,1535,10,523.856579326378 
341,1535,11,519.7456498725445 
342,1558,1,1793.0656673214985 
343,1558,2,1793.0680128736458 
344,1558,3,430.2994046022493 
345,1558,4,139.8813404002687 
346,1558,5,138.19779744166513 
347,1558,6,141.5024552485285 
348,1558,7,138.05500996751687 
349,1558,8,140.4991943027322 
350,1558,9,1179.4988371407144 
351,1558,10,482.98522031930975 
352,1558,11,479.336166627803 
353,1564,1,1600.734047487786 
354,1564,2,1600.718718949512 
355,1564,3,71.62801845958509 
356,1564,4,252.0735888863371 
357,1564,5,246.96847589814345 
358,1564,6,248.9990218240231 
359,1564,7,253.3000861702555 
360,1564,8,267.8190087663074 
361,1564,9,916.9622002367278 
362,1564,10,497.2471815349408 
363,1564,11,488.189328388794 
364,1573,1,1609.2627174274626 
365,1573,2,1609.2497268386296 
366,1573,3,97.27231462498784 
367,1573,4,209.4653500780668 
368,1573,5,204.8137950643179 
369,1573,6,206.4382705941883 
370,1573,7,210.7191457824908 
371,1573,8,225.0581026539199 
372,1573,9,933.4409928074979 
373,1573,10,471.70908323078277 
374,1573,11,462.9336178248173 
375,1574,1,1601.7524586285847 
376,1574,2,1601.7398037128912 
377,1574,3,95.08393403398053 
378,1574,4,206.2291415917494 
379,1574,5,202.4320212265514 
380,1574,6,203.32766051326553 
381,1574,7,207.55295110071606 
382,1574,8,220.82515237712073 
383,1574,9,927.3120421473008 
384,1574,10,462.1965973776926 
385,1574,11,453.4086516495456 
386,1590,1,1492.8221344226563 
387,1590,2,1492.8059348325417 
388,1590,3,38.33480675097727 
389,1590,4,311.16720895136916 
390,1590,5,312.3073220046732 
391,1590,6,309.1408974067412 
392,1590,7,312.86126956513027 
393,1590,8,318.3280176746881 
394,1590,9,808.1661706567254 
395,1590,10,447.55013420160606 
396,1590,11,437.9419060981847 
397,1596,1,1591.1659267165219 
398,1596,2,1591.1489940763781 
399,1596,3,61.084358207139665 
400,1596,4,282.2736777467111 
401,1596,5,277.2227960312378 
402,1596,6,279.21654579259393 
403,1596,7,283.51097940687646 
404,1596,8,297.7445828559032 
405,1596,9,902.3917977636238 
406,1596,10,513.2631917005658 
407,1596,11,504.0316097511859 
408,1598,1,1569.9394253539206 
409,1598,2,1569.9226973420264 
410,1598,3,39.552386110076114 
411,1598,4,284.95571408841005 
412,1598,5,281.34753516048517 
413,1598,6,282.115850847032 
414,1598,7,286.3134376827496 
415,1598,8,298.6153704559914 
416,1598,9,882.1429883943188 
417,1598,10,497.3873374911866 
418,1598,11,488.0685568491098 
419,1604,1,1581.4313957077923 
420,1604,2,1581.415535429237 
421,1604,3,50.86424591532709 
422,1604,4,266.73701304445336 
423,1604,5,262.75628997379675 
424,1604,6,263.83417819001414 
425,1604,7,268.06127618564705 
426,1604,8,280.99135414939065 
427,1604,9,896.239506196896 
428,1604,10,492.2725457385246 
429,1604,11,483.0688160223318 
430,1611,1,1594.9169781781154 
431,1611,2,1594.901223697278 
432,1611,3,64.48044373850594 
433,1611,4,260.9735143734155 
434,1611,5,256.10932065748233 
435,1611,6,257.93700699760547 
436,1611,7,262.222709958544 
437,1611,8,276.3597981787148 
438,1611,9,909.8414271817535 
439,1611,10,499.3203380719937 
440,1611,11,490.19552333750147 
441,1612,1,1601.6646275417006 
442,1612,2,1601.6489253741345 
443,1612,3,71.292734382166 
444,1612,4,258.3106149880165 
445,1612,5,252.99281757621793 
446,1612,6,255.2076330447723 
447,1612,7,259.51996296048736 
448,1612,8,274.2664179801094 
449,1612,9,916.6467227317389 
450,1612,10,502.9470423988534 
451,1612,11,493.86273021145536 
452,1633,1,1645.9609706384467 
453,1633,2,1645.9418955802166 
454,1633,3,125.13911157424232 
455,1633,4,313.2410978083888 
456,1633,5,304.41474076268383 
457,1633,6,309.6915275602792 
458,1633,7,314.12377207595483 
459,1633,8,332.99721436856186 
460,1633,9,950.2150684920709 
461,1633,10,578.4483940862373 
462,1633,11,569.3166239080984 
463,1642,1,1649.2368978138288 
464,1642,2,1649.218962309029 
465,1642,3,121.70632523887915 
466,1642,4,291.9965986183076 
467,1642,5,283.05577349077765 
468,1642,6,288.42978531719183 
469,1642,7,292.8637771841725 
470,1642,8,311.9676419950052 
471,1642,9,956.6591714628892 
472,1642,10,564.9905707842181 
473,1642,11,555.9634905384293 
474,1644,1,1641.419978687418 
475,1644,2,1641.4023457325143 
476,1644,3,112.85345446957795 
477,1644,4,286.8003116452017 
478,1644,5,278.36709128019953 
479,1644,6,283.29283854185667 
480,1644,7,287.71948966254513 
481,1644,8,306.225438064798 
482,1644,9,949.8228550657942 
483,1644,10,555.5822951143032 
484,1644,11,546.5423214851562 
485,1648,1,1626.8998388227412 
486,1648,2,1626.8824537878402 
487,1648,3,97.71776812418584 
488,1648,4,283.6225203555022 
489,1648,5,276.14194053085316 
490,1648,6,280.2330575960127 
491,1648,7,284.636672189828 
492,1648,8,301.97569719918573 
493,1648,9,936.2303792452467 
494,1648,10,542.505407441189 
495,1648,11,533.414319062168 
496,1655,1,1639.3127080566442 
497,1655,2,1639.2958010030652 
498,1655,3,108.74022945778705 
499,1655,4,273.6224507041924 
500,1655,5,265.4161521392275 
501,1655,6,270.13968344143245 
502,1655,7,274.56233082247604 
503,1655,8,292.8567659321111 
504,1655,9,949.9183844879212 
505,1655,10,544.2936605498611 
506,1655,11,535.3049889319979 
507,1679,1,1819.6219744293512 
508,1679,2,1819.6147969764722 
509,1679,3,334.39038511224214 
510,1679,4,165.33084009828235 
511,1679,5,145.8116381393508 
512,1679,6,161.99300878295452 
513,1679,7,164.00058550544293 
514,1679,8,192.72837860095873 
515,1679,9,1161.743486980589 
516,1679,10,575.8746959057611 
517,1679,11,569.5570448259234 
518,1680,1,1798.856501259766 
